id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Condo in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,129,3,220,2023-06-10,2.14,1,350,19,
7126,Rental unit in Chicago · ★4.70 · 1 bedroom · 1 bed · 1 bath,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,94,32,493,2023-05-28,2.90,1,295,44,R21000075737
2907500,Home in Chicago · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,11231030,Erik,,West Lawn,41.78225,-87.72806,Private room,39,1,335,2023-05-31,3.11,2,196,6,
755701,Rental unit in Chicago · ★4.73 · 3 bedrooms · 6 beds · 1 bath,3920450,Vas,,Logan Square,41.93115,-87.71836,Entire home/apt,100,32,27,2022-12-01,0.22,4,198,3,City registration pending
10945,Rental unit in Chicago · ★4.64 · 2 bedrooms · 2 beds · 1 bath,33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,219,4,66,2023-06-07,0.59,7,94,19,2209984
790934,Rental unit in Chicago · ★4.66 · 1 bedroom · 1 bed · 2 shared baths,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,234,1,139,2020-02-03,1.08,16,0,0,R21000075752
863120,Condo in Chicago · ★4.92 · 3 bedrooms · 1 bed · 2.5 baths,4525503,Nejla Yatkin And Enki,,Lincoln Park,41.92218,-87.66079,Private room,85,2,140,2023-06-15,1.16,1,92,26,
3031898,Condo in Chicago · ★4.84 · 2 bedrooms · 1 bed · 2 baths,15442332,Karen Sophie,,South Shore,41.77206,-87.56982,Entire home/apt,75,32,245,2019-10-23,2.22,1,329,0,City registration pending
24833,Rental unit in Chicago · ★4.29 · 1 bedroom · 1 bed · 1 bath,101521,Red,,Lincoln Park,41.925961,-87.656364,Entire home/apt,92,32,42,2023-04-22,0.26,4,200,2,City registration pending
3053081,Rental unit in Chicago · ★4.83 · 1 bedroom · 1 bed · 1 bath,1368870,Paul,,Logan Square,41.91571,-87.67449,Entire home/apt,138,2,448,2023-06-10,4.06,1,116,50,R22000090195
887038,Rental unit in Chicago · ★4.32 · 2 bedrooms · 2 beds · 1 bath,101521,Red,,Lincoln Park,41.92546,-87.6573,Entire home/apt,120,32,43,2023-06-04,0.35,4,141,5,City registration pending
25879,Rental unit in Chicago · ★4.30 · 2 bedrooms · 3 beds · 1 bath,101521,Red,,Lincoln Park,41.92499,-87.65573,Entire home/apt,86,32,51,2022-12-20,0.32,4,261,2,City registration pending
903996,Home in Chicago · ★4.99 · 1 bedroom · 1 bed · 1 private bath,4019426,Colleen,,Logan Square,41.92708,-87.71212,Private room,110,32,145,2020-03-19,1.19,1,4,0,
3068787,Rental unit in Chicago · ★4.94 · 2 bedrooms · 2 beds · 2 baths,7780304,Mark And Collette,,North Center,41.96136,-87.6784,Entire home/apt,160,3,133,2023-06-04,1.40,1,286,22,R22000080115
28749,Loft in Chicago · ★4.77 · 3 bedrooms · 3 beds · 2 baths,27506,Lauri,,Logan Square,41.92137,-87.67932,Entire home/apt,200,2,177,2023-06-04,1.16,1,37,30,R22000079930
3083343,Rental unit in Chicago · ★4.71 · 2 bedrooms · 3 beds · 1 bath,209564,Ami,,Logan Square,41.91533279418945,-87.67047882080078,Entire home/apt,225,2,121,2023-05-30,1.15,6,64,18,R18000036344
37738,Home in Chicago · ★4.99 · 1 bedroom · 1 bed · 1.5 shared baths,162364,Mat And Randy,,Uptown,41.97303,-87.66567,Private room,110,32,250,2020-03-15,1.59,2,0,0,
929914,Rental unit in Chicago · ★4.93 · 1 bedroom · 1 bed · 1 bath,5007980,Lynn,,Lincoln Park,41.912410736083984,-87.63896942138672,Entire home/apt,130,3,440,2023-06-04,3.54,1,70,55,R21000073898
71930,Rental unit in Chicago · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,95,3,103,2023-06-10,0.70,2,216,12,
931105,Home in Chicago · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,5015135,Samantha,,East Garfield Park,41.88538,-87.69801,Private room,136,5,23,2018-11-02,0.19,1,362,0,
3111197,Rental unit in Chicago · ★4.91 · 1 bedroom · 2 beds · 1 bath,5863711,Masha,,Rogers Park,42.00729,-87.67708,Entire home/apt,130,32,45,2021-12-26,0.41,1,323,0,City registration pending
84042,Rental unit in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,89,3,127,2023-05-15,0.86,2,52,22,
